Languages,2019,2020,2021,2022,2023,2024_predicted,2025_predicted,2026_predicted,2027_predicted,2028_predicted
JavaScript,56455,36292,49904,43881,51473,46888,46650,46413,46175,45938
Python,34761,23789,37371,32421,40336,39670,41648,43626,45604,47583
TypeScript,17752,13711,23300,23487,31746,33328,37104,40881,44657,48434
HTML/CSS,52851,33849,43197,37000,42979,36997,35338,33678,32019,30360
SQL,45291,29446,36167,33204,39478,34356,33569,32783,31996,31209
Rust,2719,2813,5597,6406,10929,11696,13698,15699,17700,19701
C#,25786,16826,21235,18664,22200,19342,18808,18275,17741,17208
Go,6900,4757,7394,7570,10866,10720,11795,12869,13944,15018
Java,34139,21578,27099,22310,24793,20595,18799,17003,15207,13411
C++,19415,12705,18656,15091,18260,16848,16855,16863,16871,16878
